#,tractate,fromLine,fromWordIndex,fromWord,toLine,toWordIndex,toWord,composition,compositionLocation,excerpt,comments,year,כרטיס בכרטסת,כרטיס בסריקה
4753,yevamot,641,30,הדא,631,40,,נימוקי יוסף - יבמות,"פ""ט כ""ו ע""ב","ושאר כל הנשים מותרות אלו לאלו. גרסינן בירושלמי מתני' דהכא מסייעא לרבי יונה דאמר לית כללי דרבי כללים משום דהאי כלל דאמר ושאר כל הנשים אינו דוקא דהא פצוע דכא. ...ואיכא נמי ט""ו עריות שמותרות לבעליהן ואסורות ליבמיהן וצרת סוטה מותרת לבעלה ואסורה ליבם והבא על אחות חלוצתו אסורה לו ומותרת ליבם ואחיו שנשא אחות חלוצתו מותרת לבעל ואסורה ליבם.","(וע""ש בשינויים)",1450,,
7453,yevamot,641,30,הדא,631,40,,"חידושי הריטב""א - יבמות ח""ב","פד, א (תתרעט)","גרסינן בירושלמי מתני' דהכא מסייע לר' יונה דאמר לית כלליה דרבי כללין, פי' דהא דקתני ושאר כל הנשים מותרות לבעליהן, וליבמיהן אינו כלל דוקא, דהא איתא פצוע דכא כדאיתא בגמ', ואיכא נמי מצרי שני אליבא דרב דימי, ואיכא נמי ט""ו עריות שהן מותרות לבעליהן ואסורות ליבמיהן, וצרת סוטה מותרת לבעל ואסורה ליבם, והבא על אחות חלוצתו אסורה לו ומותרת ליבם, אחיו שנשא אחות חלוצתו מותרת לבעל ואסורה ליבם.","חלק מהדוגמאות בירוש' וחל' אינם שם, עי' הערות המהדיר.",1300,,
,yevamot,641,30,הדא,631,40,,"אור זרוע ח""א","הלכות שחיטה סימן שסז ד""ה השוחט צריך","דלא קיי""ל ככללי דרבי דאמ' בירושל' פ""ק דתרומות ובידו' פרק (החולץ) [מצות חליצה] ובירושל' פ""ק דחגיג' חברייא בשם ר' לעזר למען ישמעון [ולמען ילמדון] עד כדון [במדבר ואינו שומע חרש שומע ואינו מדבר ר' אילא בשם ר' לעזר] למען ילמדון ולמען ילמדון א""ר יונה ההיא אמרת לית כללי [דרבי כללי] דתנינן תמן חרש המדבר ואינו שומע לא יתרום וסברין מימר מדבר ואינו שומע חרש שומע ואינו מדבר אינו חרש ותנינן החרש שנחלץ והחרשת שחלצה והחולצת לקטן חליצתה פסולה וא""ר יוחנן לפי שאינן יכולין לומר ואמר ואמרה ותנינן חרש שדברו בו חכמים בכ""מ שאינו שומע ואינו מדבר הדא מסייע לר' יונה דאמר לית כללי דרבי כללי",מובא אצל פינצ'וק גם לגבי טור 873 שורות 21-20,1215,,
17303,yevamot,641,30,הדא,631,40,,בית הבחירה,"יבמות, עמ' 305",ובתלמוד המערב אמרו על משנה זו הדא מסייעא לר' וינה דאמר לית כללוי דר' כללין,,1375,49,853_210560
4755,yevamot,648,*,,648,*,0,נימוקי יוסף - יבמות,"פ""ט כ""ז ע""א","בעו מיניה בני בדרי מרב ששת שניה לבעל ולא שניה ליבם יש לה כתובה מיבם או אין לה כתובה מיבם ... ודקדקו המפרשים ז""ל מדאיבעי להו בשניה לבעל ש""מ דפשיטא להו דאית לה מבעל דהא הכא לא אתעבידא איסורא כלל ואע""ג דבירושל' בעיא דלא איפשיטא אנן אגמרא דילן סמכינן.",,1450,,
13637,yevamot,648,1,שנייה,648,34,לה,"חידושי הרמב""ן - יבמות","עמוד שג [פה ע""א]","אבל בירושלמי שני' ליבם לא שני' לבעל אסורה ליבם ומותרת לבעל, מהו שיהו לה כתובה אצל היבם מאחר שהיא אסורה לו אין לה כתובה, או מאחר שכתובתה על נכסי בעלה הראשון והיא מותרת לו יש לה.","[פלורסהיים ג (א), ע' עד]",1250,41,745_00240427
7455,yevamot,648,*,,648,*,0,"חידושי הריטב""א - יבמות ח""ב","פה, א (תתשא)","ולענין שניה ליבם ואינה שניה לבעל, אם יש לה כתובה מן הבעל שכנסה בהיתר או לא, בעיא היא בירושלמי ולא איפשיטא. ",,1300,,
,yevamot,648,*,,648,*,0,"חי' הרשב""א - יבמות"," דף פה ע”א ד""ה שניה לבעל","ומדאיבעיא להו שניה לבעל ולא שניה ליבם ולא איבעיא להו שניה ליבם ולא שניה לבעל אי אית לה כתובה מבעל ש""מ דפשיטא להו דאית לה דהא הכא לא אתעבידא בה איסורא כלל ואע""ג דבעיא הוא בגמ' דבני מערבא ולא איפשיטא התם, אנן אגמ' דילן סמכינן דלא איסתפק. להו כלל",,1275,,
17371,yevamot,648,*,,648,*,0,בית הבחירה,"יבמות, עמ' 307",ובתלמוד המערב נסתפקו בה אם יש לה אף מבעל הואיל ומתיבמת אצלו שלא כדין,,1375,51,855_210562
17370,yevamot,650,1,מהו,650,10,שאכל.,בית הבחירה,"יבמות, עמ' 306",ובתלמוד המערב פירשוה שאינה יכולה להוציא ממנו פירות שאכל שלא תאמר כיון שאין לה כתובה ממנו או שאם נשבית אינו חייב לפדותה יש לה פירות שאכל אפילו הכי קנסוה רבנן,,1375,50,854_210561
13636,yevamot,649,1,ולא,650,10,שאכל.,"חידושי הרמב""ן - יבמות","עמוד שא [פד ע""א]","אבל ראיתי בירושלמי לשון אחר, ולא פירות אמר ר' ירמיה שאין לו עליה אכילת פירות, תנא ר' יוסי צירניי' קומי ר' ירמיה ופליג על ר' ירמיה, וזכא במציאתה ובמעשה ידיה ובהפרת נדריה, מהו ולא פירות, שאינה יכולה להוציא ממנו פירות שאוכל.","[פלורסהיים ג (א), ע' עד]",1250,40,744_00240426
,yevamot,649,,,650,*,0,"ר""ן על הרי""ף","כתובות דף נט עמוד א ד""ה מתני' השניה (ד""ה ולא פירות)",אבל בירושלמי פירשו ולא פירות שאין הבעל חייב להחזיר פירות שאכל,,#N/A,,
,yevamot,650,*,,650,*,0,נימוקי יוסף - יבמות,"כו ע”ב ד""ה מתני' שניות (ד""ה ולא פירות)","אינה מוציאה ממנו פירות שאכל כבר ואף על פי שאכלם שלא כדין דתקינו לו פירות תחת פרקונה והכא הוא אינו חייב לפדותה דלא קרינן בה ואותבינך לי לאינתו. כן פרש""י ז""ל וכן בירושלמי",,1450,,
7454,yevamot,650,*,,650,*,0,"חידושי הריטב""א - יבמות ח""ב","פה, א (תתרצה)","ולא פירות. פרש""י ז""ל וכ""פ בירושלמי שאינה מוציאה ממנו פירות שאכל כבר.",עי' גם לקמן עמ' תתשסט.,1300,,
24253,yevamot,651,*,,651,*,0,"שו""ת מהר""ם מרוטנבורג","סי' תתרכט דף קל ע""א","ונשאל לרבי' אבי העזרי ז""ל אם יורש הבעל לאשתו המשומדת [ואי] מקרי שארו כיון שזינתה ואסורה לו והשיב וז""ל ...  וכמו שהאב יורש לבנו משומד ה""נ הבעל יירשנה אע""פ שאינה ראויה [לטמא לה] דבפרק יש מותרות בירושלמי (ה""ד) אמרי' גבי [שנייה]* תניא [יורשה]** ומטמא לה דתני' ר' חייא מטמא אדם לאשתו כשירה ואינה***(ו) מטמא לפסולה ופי' מאחר דמדאו' [אינה] פסולה הויא כאשתו ...","*סטת - ד""פ  סוטת - ד""ס **ירושה - ד""פ ***ואינ' - ד""פ",1275,103,190367_451
20275,yevamot,651,*,,651,*,0,"אור זרוע ח""ג","ב""ב (קב)   טז ע""ג",דפ' יש מותרות בירוש' אמרי' לגבי שניות תני יורשה ומטמא לה דתני ר' חייא מטמא אדם לאשתו כשירה ואינו מטמא לפסולה. ופי' מאחר דמדאורייתא אינה פסולה הויא כאשתו.,,1215,5א',170675_829
,yevamot,641,*,,641,*,0,בית הבחירה,"יבמות דף פד עמוד א ד""ה חלל שנשא","ויש גורסין כשר שנשא כשרה ויש לו אח חלל ר""ל כהן כשר שנשא כשרה ויש לו אח חלל וזו ודאי שלא כהלכה שהרי הלכה רווחת שזו מותרת ליבם שלא הוזהרו כשרות לינשא לפסולין ואף הגירסא אי אפשר להעמידה... ומכל מקום בתלמוד המערב נשנית כגירסא שניה שכתבנו ואף גדולי המחברים כתבוה כן בפירושי המשנה ואי אפשר להעמידה לפי סוגיא שבגמרא כמו שכתבנו",,1375,,
25823,yevamot,653,1,תמן,654,49,כופין.,פסקי מרדכי,כתובות קצד [ע. בגמ'],"וראיה מירושל' תמן תנינן גט מעושה בישראל כשר ובעובד כוכבי' פסול אמר שמואל פסול ופוסל [*לכהונה] שמואל אמר אין מעשים אלא כגון אלמנה לכ""ג גרושה וחלוצה לכהן הדיוט והא תנינן שניות (*לא) כגון דא אמר שמואל והא תנינא המדיר כו' עד דיוציא ויתן כתובה שמעינן שמוציא שמעינן שכופין","(הקשר דבריו: ""ורבינו חננאל פי' כל יוציא שבתלמוד אין כופין וראי' ... שמעינן שכופין בתמיה וכו' וממשיך להלן בהסב""ר).",1275,22,220831_526
24245,yevamot,654,*,,654,*,0,"שו""ת מהר""ם מרוטנבורג","סי' תתקכז דף קכט ע""ב","אחרי כותבי כתבי הראשון קבל לפנינו ר' ירמיה על חתנו שהיה מכה בתו תדיר ומבזה אותה ... ואם לא יעמד הבעל מקיום השלום שיוסיף להכותה ולבזותה אנו מסכימי' אחריהם להיות מנודה בב""ד עליון ובב""ד התחתון ויעשוהו ע""י גוים לתת גט ... אפי' שמואל מודה דאין אדם דר עם נחש בכפיפ' ואפי' בההוא גופא [דאיני זן ואיני מפרנס] כרב קיי""ל כיון דר' יוחנן קאי כותי' ... מההיא דהמדיר את אשתו ליהנות עד ל' יום יעמיד פרנס ... משום דברי' קטני' שאינה מספקת [והיא רגילה בבי נשא דאמרה] השתא לא מצינו אגלגל בהדך אע""ג דבירושלמי פ' אלמנה ניזונית (ה""ז) ובירושלמי דיש מותרות (ה""ד) [דחי לה] שמואל דאמר אין מעשי' אלא לפסולות [ואמר שמענו שהוא מוציא שמענו כופי' בתמיה] דמשמע דלא כפינן ... שמחה ב""ר שמואל","ד""פ: דיש מותרות דחינן לדשמואל דאמר אין מעשין אלא לפסולות שמענו שמצינו שכופין בתרוייהו דמשמע ...",1275,100,190364_448
,yevamot,654,*,,654,*,0,"אור זרוע ח""ג", פסקי בבא קמא סימן קסא,אף על גב דבירושלמי פ' אלמנה ניזונית ובירושלמי דיש מותרות דחינן ליה לשמואל דאמר אין מעשין אלא לפסולות שמענו שמוציא שמענו שכופין בתמיה פי' יוציא דתנן במתני' ובברייתא יש יוציא שמשמע בלא כפייה גם יש יוציא שהוא בכפייה,,1215,,
4752,yevamot,641,*,,641,*,0,נימוקי יוסף - יבמות,"פ""ט כ""ו ע""ב","יש מותרות. חלל שנשא כשירה. כך גירסת רש""י ז""ל ... ויש גורסין כשר וכן גורס הרמב""ם ז""ל בפירוש המשנה וכן הגירסא בירושלמי כשר שנשא כשירה ויש לו אח חלל ופשטינן מינה בירוש' דלהכי אסורה ליבמה מפני שהוזהרו כשירות שלא לינשא לפסולין וכל היכא דאיהי מוזהרת איהו נמי מוזהר.    אבל א""א לגרוס כן לפום גמרא דילן.","(וע""ש שהגרסה צריכה תקון)",1450,,
7452,yevamot,641,*,,641,*,0,"חידושי הריטב""א - יבמות ח""ב","פד, א (תתרעח)","וכן הגירסא בירושלמי כשר שנשא כשרה ויש לו אח חלל, ופשטינן מינה בירושלמי דלהכי אסורה ליבמה מפני שהוזהרו כשרות שלא לינשא לפסולים, וכל היכא דאיהי מוזהרת איהו נמי מוזהר. ",,1300,,
,yevamot,641,*,,641,*,0,"חי' הרשב""א - יבמות","דף פד ע”א ד""ה ה""ג חלל","ומקצת ספרים שהיה בהן כשר שנשא כשרה ויש לו אח חלל שבוש הוא לפום גמרין, ומיהו בני מערבא הוו תנו לה הכי ואתו למיפשט מינה דהוזהרו כשרות לינשא לפסולין ודלא כגמרין, והרמב""ם ז""ל שכתב בפירושי המשנה שלו כשר וכשרה ר""ל כהן כשר וכהנת כשרה ויראה ממשנה זו שכהנת כשרה אסורה לחלל וזה דבר נדחה דקי""ל לא הוזהרו כשרות לינשא לפסולין אלא מותר חלל בכהנת כשרה ע""כ, נראה שסמך לו על אותה גירסא שבגמרא דבני מערבא ועל הסוגיא אשר שם ולא ירדתי לסוף דעתו שהרי היא מוחלפת השיטה בגמרתנו ואנו על תלמוד ערוך שבידינו נסמוך",,1275,,
14401,yevamot,657,1,מה,657,46,כתובה.,העיטור,"ק""ד.א. ויניציאה   ח""ב, ע' ע""ב טור ב' (כ""א)","ירושלמי מה נפק מבניהון והמחזיר גרושתו משנישאת מאן דאמר אלו על ידי שהן מד""ת הואיל והיא מד""ת יש לה כתובה ואית דבעי למימר על ידי שקנסן בידו וביד הוולד לפיכך אין להן כתובה",,1150,405,150738_405
31274,yevamot,678,4,כמה,680,22,הים.,"חי' הרשב""א - יבמות","פז ע""ב, עמ' תעג, ד""ה: הא דקתני הכא","[גרסינן עלה בירושלמי] כמה דתימא תמן מפרישין אותן שלשה חדשים שמא מעוברות הן ואם היו קטנות ולא היו ראויות לילד מחזירין אותן מיד ואמור אף הכא כן, שניא היא תמן שאחרים הטעו בה*, והכא לא אחרים הטעו בה, קנס קנסו בה שתהא בודקת יפה, ויקנסו בה אצל השני ואל יקנסו בה אצל הראשון א""ר יוחנן מריח ערוה נגעו בה, מעתה לא תהא צריכא גט ממנו, שניא היא שנשאת לו דרך התר, שמואל אמר אומר אני שמא שלח לה גט ממדה""י.",*לפנינו: 'בהן',1275,55,502_00271268
4757,yevamot,682,45,כדי,682,49,ראשון.,נימוקי יוסף - יבמות,"פ""י כ""ח א'-ב'","$ אלא רישא לעולם טעמא דבעו גט משני ... אלא כל מה שהצריך גט משני משום קנסא דעבדא איסורא ... וטעם קנס זה כדי לעגן אותה שלא תנשא בלא גט א""נ כדפירשו בירושלמי והוא הנכון משני צריכה גט כדי לברר איסורו של ראשון. כלומר ? קיום לקדושי שני כדי לאוסרה על הראשון ולעשות הולד ממנו ממזר קודם גרושי שני",,1450,,
13638,yevamot,682,45,כדי,682,49,ראשון.,"חידושי הרמב""ן - יבמות","עמוד שיג [פט ע""א]","רישא דעבדא איסורא קנסוה רבנן... והצריכו' גט כדי להוציא עליה קול שיאמרו גירש זה ונשא זה... כדי שלא יעבור ויחזירנה ומפורש בירושלמי, כדי לברר איסורו של ראשון.","[פלורסהיים ג (א), ע' עז]",1250,42,746_00240428
7459,yevamot,682,45,כדי,682,49,ראשון.,"חידושי הריטב""א - יבמות ח""ב","פט, א (עמ' תתתטו)","א""נ והוא הנכון כמו שפי' בירושלמי כדי לברר איסורו של ראשון.",ומבאר את הירושלמי.,1300,,
,yevamot,682,45,כדי,682,49,ראשון.,"חי' הרשב""א - יבמות","דף פט ע”א ד""ה כך היא",וכדגרסי' בירושלמי משני צריכה גט כדי לברר איסורו של ראשון,,1275,,
17375,yevamot,682,45,כדי,682,49,ראשון.,בית הבחירה,"יבמות, עמ' 326",ומכל מקום גדולי הפוסקים גורסין אלא רישא קנוסה רבנן כלומר ואףברישא כשהצריכוה גט משני לא מטעם חשש גירש זה כן אלא משום קנס לבד וכדי לברר איסורו של ראשון שלא יחזירנה קודם גיטו של שני אלא שתדמה עליו כאשת איש וכן יראה מתלמוד המערב,,1375,55,859_210566
15560,yevamot,682,40,רבנין,682,49,ראשון.,מלחמות ה' - יבמות,"כט ע""א","כתוב בספר המאור אמר רב יבמה קדושין אין בה נשואין יש בה משום דמיחלפא באשה שהלך בעלה למדינת הים פירוש להצריכה גט נאמרה שמועה זו וכו' וכיון דהלכתא כשמואל לא היה לו לרי""ף לכתוב שמועה זו וכו' אמר הכותב... שכל עיקר לא אמרו אפילו באשה שהלך בעלה למדינת הים שהיא צריכה גט אלא משום קנסה שרצו להחמיר עליה בסופה.. כדי שיאמרו זו גירש זה ונשא זה ואסור הוא להחזירה.. וכן מפורש נמי בירושלמי מעתה לה תהא צריכה ממנו גט ומסיק רבנן דקסרין בשם רבי אילא כדי לברר איסורו של ראשון","[פלורסהיים ג (א), ע' עו]",1250,10,111_00241002
,yevamot,685,*,,685,*,0,חידושי ר' קרשקש - גיטין,"דף עט עמוד ב ד""ה ואין לה","ואין לה כתובה ולא פירות. פי' בירושלמי (יבמות פ""י ה""א) שאינה מוציאה מהם פירות שאכלו משום קנסא",,#N/A,,
12816,yevamot,685,6,שאינה,685,12,שאכל.,"חידושי הרמב""ן - גיטין","גיטין ל ע""ב [עט:]",ולא בפירות... ובירוש' מפרש שאינה יכולה להוציא ממנו פירות שאכל,,#N/A,,00240115
7457,yevamot,685,6,שאינה,685,25,מוציאה.,"חידושי הריטב""א - יבמות ח""ב","פז, ב (תתשסז)","ולא פירות. פי' בירושלמי שאינה מוציאה ממנו פירות שאכל... וכ""פ בירושלמי דדוקא מה שאכל קודם שבא הראשון, דברשות ב""ד אכל, ולדידיה לא קנסו במה שאכל ברשות, אבל מה שאכל אח""כ תוציא ממנו.",,1300,,
,yevamot,685,*,,685,*,0,"חי' הרשב""א - יבמות","דף פט ע”א ד""ה ולא פירות","ולא פירות ולא בלאות. פי' אינה מוציאה ממנו פירות שאכל, והכין איתא בגמ' דבני מערבא",,1275,,
35588,yevamot,685,*,,685,*,0,"חי' הרשב""א - גיטין","(עט,ב) עמ' תשל""ב","ולא פירות. פרש""י ז""ל דין פירות, כלומר פורקנא שהוא תחת פירות. ובירושלמי מפרש שאינה יכולה להוציא ממנו פירות שאכל. ואפשר לישב דברי רש""י ז""ל כדברי הירושלמי, וכמו שכתבתי בריש פרק האשה רבה ביבמות בס""ד.",,1275,152,280251_380
,yevamot,685,*,,685,*,0,בית הבחירה,"יבמות דף פט עמוד א ד""ה כבר פירשנו",ופירשנוה שאינה מוציאה ממנו פירות שאכל וכן יראה מתלמוד המערב כמו שביארנו במשנה,,1375,,
33788,yevamot,685,6,שאינה,685,*,0,תוספות - יבמות,"פ""ה. ד""ה אלמנה","אלמנה לכ""ג יש לה פירות לאביי דאמר בפ' נערה שנתפתתה אלמנה לכ""ג נשבית חייב לפדותה ... הוי פירות כמשמעו דין פירות דהיינו פירקונה ובשניה דקתני אין לה פירות הוי נמי דין פירות דאם נשבית אינו חייב לפדותה אף על גב דבעל אוכל פירות כי ההיא דהאשה רבה דתנא נמי אין לה פירות ומזונות כו' ואמר עלה בירושלמי שאינה יכולה להוציא ממנו הפירות שאכל א""ר חנינא הא דתימא כשאכל עד שלא בא הראשון כו'.",,1200,29,310654_555
22460,yevamot,685,1,ולא,685,25,מוציאה.,"פסקי הרי""ד - יבמות",עמ' קפה,"ירושלמי ולא פירות. תני ר' אבינא שאינה יכולה להוציא ממנו פירות שאכל הדה דתמר מה שאכל עד שלא בא הראשון אבל אם אכל משבא הראשון (כ""י: הראשון מוציאה - עיין בהערת המו""ל).",,1200,7,180949_705
26948,yevamot,685,6,שאינה,685,25,מוציאה.,"על הרי""ף גיטין","פ""ח מא ע""ב","ולא פירות פרש""י ז""ל דין פירות שתקנו לאשה פרקונה משביה תחת פירות ועל אלו אין לה כלום אבל בירוש' אמרו בי?במות בעליך ונשאת וכו' אמרינן בה שאינה יכולה להוציא ממנו אכילת פירות שאכל הדא דתימא בשאכל עד שלא בא הראשון אבל אם אכל משבא הראשון מוציאין.","ועיין ר""ן יבמות פ""י כו ע""ב וכז ע""ב ובכתובות פ""יא נט שמזכיר ירוש' זה",?,51,408_00260207
4756,yevamot,685,*,,685,*,0,נימוקי יוסף - יבמות,"פ""י כ""ז ע""ב","מתני' האשה שהלך ... ולא פירות פירושו בירושלמי וכן רש""י שאין מוציאין ממנו ממנו [מן השני] פירות שאכל [קודם שבא ראשון] וכן פירשו בירושלמי דדמה שאכל לאחר שבא ראשון תוציא ממנו.","עיין בר""ן כתובות פי""א נ""ט שמביא ירושלמי זה לענין המשנה שבכתובות שם.",1450,,
17374,yevamot,685,*,,685,*,0,בית הבחירה,"יבמות, עמ' 316",ולא פירות פירשו בתלמוד המערב שאינה יכולה להוציא מאחד מהן פירות שאכלו בנכסיה לאחר נישואי שני עד שנתנו גט ובתלמוד המערב פירשו עד שבא הראשון ושמא תאמר בראשון מיהא מאחר שלא בא מהיכן אכל משכחת לה בפירות עבדי מלוג או בהמת מלוג שהוליך עמו או שנפלו לה נכסים במדינת הים ואכל שם פירותיהן וכיוצא בזה ובשני ודאי אין זה אלא קנס דהא גזל הוי גביה,"השוה להלן עמ 326 לדף פט,א ד""ה כבר פירשנו",1375,54,858_210565
15812,yevamot,685,1,ולא,686,25,מינה.,"רי""ף יבמות","ש""ס וילנא כ""ח ע""ב   פ""י   ח""ב   מה' זק,ש עמ' ל""ח","ירושל' ולא פירות אמ' ר' אבינא שאינה יכולה להוציא ממנו פירות שאכל, הדא דתימא בשנטלה כתובתה או מזונות משבא ראשון, אבל אם נטלה עד שלא בא הראשון כמה דלא מפקא מיניה כך לא מפיק מינה.",,1050,6,160080_348
,yevamot,685,1,ולא,686,25,מינה.,נימוקי יוסף - יבמות,"כח ע”ב ד""ה גרסי' בגמ' (ד""ה אלא רישא)","ירושלמי ולא פירות אמר ר' אבינא שאינה יכולה להוציא ממנו פירות שאכל הדא דתימא כשנטלה כתובתה או מזונות משבא הראשון אבל אם נטלה עד שלא בא הראשון כמה דלא מפקא מיניה כך לא מפיק מינה ע""כ",,1450,,
35589,yevamot,685,6,שאינה,686,25,מינה.,"חי' הרשב""א - גיטין","(עט,ב) עמ' תשל""ג","וכאותה שאמרו בירושלמי בפרק האשה שהלכה בעלה למדינה הים ואמרו לה מת בעלה, ולא פירות שאינה יכולה להוציא ממנו אכילת פירות שאכל, הדא דתימא בשאכל עד שלא בא הראשון, אבל אם אכל משבא הראשון מוציאה. ואם נטלה מזה ומזה תחזיר, הדה דתימא בשנטלה משבא הראשון, אבל אם נטלה עד שלא בא הראשון כמה דלא מפקה מיניה כן לא מפיק מינה.",,1275,153,280252_381
22461,yevamot,686,6,הדא,686,25,מינה.,"פסקי הרי""ד - יבמות",עמ' קפו,ירושלמי: הדה דתמר כשנטלה כתובה או מזונות משבא הראשון אבל אם נטלה עד שלא בא הראשון כמה דלא מפקא מיניה כך לא מפיק מינה.,,1200,8,180950_706
26949,yevamot,686,6,הדא,686,25,מינה.,"על הרי""ף גיטין","פ""ח מא ע""ב","ואם נטלה מזה ומזה תחזיר ירושלמי הדא דתימא בשנטלה משבא הראשון אבל נטלה עד שלא בא הראשון כמה דלא מפקא מיניה כך לא מפיק מינה ויש ללמוד ממנו ג""כ לחלק בין קודם שנודע פיסול הגט לאחר שנודע",,?,52,409_00260208
,yevamot,686,*,,686,*,0,נימוקי יוסף - יבמות,"כז ע”ב ד""ה האשה שהלך (ד""ה ואם נטלה)",ופירש בירושלמי דדוקא מה שנטלה לאחר שבא הראשון אבל מה שתפסה קודם לכן לא תחזיר ואפי' תפסה בעדים כיון דקודם לכן תפסה,,1450,,
,yevamot,686,*,,686,*,0,חידושי ר' אברהם מן ההר - יבמות,"פט ע”א ד""ה קדושי טעות","ירושלמי. נטלה משני קודם שבא הראשון, ואחר כך בא, אין השני יכול להוציא מידה",,#N/A,,
7458,yevamot,686,*,,686,*,0,"חידושי הריטב""א - יבמות ח""ב","פז, ב (תתשעא-ב)","ופי' בירושלמי דדוקא מה שנטלה לאחר שבא הראשון, אבל מה שתפסה קודם לכן לא תחזיר, ואפילו תפסה בעדים, כיון דקודם קנס תפסה.",,1300,,
,yevamot,686,6,הדא,686,25,מינה.,בית הבחירה,"יבמות דף פז עמוד ב ד""ה ואם נטלה","וזהו שאמרו בתלמוד המערב הדא דתימא בשנטלה משבא הראשון אבל נטלה עד שלא בא הראשון כמה דלא מפקא מיניה ר""ל פירות שאכל כך לא מפיק מינה ולמדת שזה שאמרו בפירות שאינה מוציאתם דוקא פירות שאכל קודם שבא הראשון אבל מה שאכל משבא הראשון מוציאה ממנו",,1375,,
31272,yevamot,686,6,הדא,686,25,מינה.,"חי' הרשב""א - יבמות","פז ע""ב, עמ' תעא, ד""ה: אם נטלה מזה",[כדגרסינן בירושלמי] הדא דתימר בשנטלה משבא הראשון אבל אם נטלה עד שלא בא הראשון כמה דלא מפקא מיניה כך לא מפיק* מינה,לפנינו 'מפקא',1275,54,501_00271267
13036,yevamot,687,23,דר',687,35,ממזר.,"השגות הרמב""ן על ספר המצוות לרמב""ם",עמ' תז,"ובגמרא דבני מערבא אמרו: דר""ע אמר הבא על סוטתו הולד ממזר, המחזיר גרושתו הולד ממזר, וזה ממה שידוע דלר' עקיבא יש ממזר בחייבי לאוין.","[פלורסהיים ג (א), ע' פ]",1250,,159_00240209
13640,yevamot,687,1,והוולד,688,36,כשר.,"חידושי הרמב""ן - יבמות","עמוד שיט [צא ע""ב]","ובירושלמי גרסינן, והולד ממזר מזה ומזה ניחא הולד ממזר מן השני הולד ממזר מן הראשון רבי בא בשם רבי זעירא דר' עקיבא היא דר' עקיבא אמר הבא על סוטתו הולד ממזר המחזיר גרושתו משנשאת הולד ממזר ר' יוסי בשם ר' אילא דברי הכל הולד כשר כגיטה כן ממזרה מה נפיק מבינהון נתן לה השני גט ואח""כ בא עלי' הראשון על דעת ר' בא בשם ר' זעירא הולד ממזר כר""ע על דעת ר' יוסי בשם ר' אילא דברי הכל הולד כשר.","[פלורסהיים ג (א), ע' עח]",1250,44,748_00240430
,yevamot,687,*,,687,*,0,"חי' הרשב""א - יבמות","דף צא ע”ב ד""ה כל העריות","פרש""י ז""ל דר' עקיבא היא דאמר יש ממזר מיבמה, והכין נמי תנינן לה בתוספתא דגטין פ""ו כל העריות שאמרו צרותיהן מותרות כו' תצא היא ושלשה עשר דבר בה דברי ר' מאיר שאמר משום ר""ע וחכ""א אין ממזרין מיבמה וכדאיתא נמי בירושלמי",,1275,,
24258,yevamot,689,1,לא,690,32,חדא.,"שו""ת מהר""ם מרוטנבורג","סי' תתקכט דף קל ע""א","... ונשאל לרבי' אבי העזרי ז""ל ... והשיב ... אבל הכא דמי להא דאמרי' פ' האשה (צ""א ע""א) מציאתה ומעשה ידיה [דמדידה לדידיה לא קניס כתובה דמדידי' לדידה קניס] ות""ק דקניס טעמא כדפי' לעיל אבל ליורשה לא לשתמיט תנא דפ' האשה לתני זה וזה אין יורשין אותה כיון דתנא [ירושת] בנין דכרין והא לא קתני ש""מ דהבעל יורשה ותנא דוקא הוא דגרסי' בירושלמי בהאשה רבה (ה""א) לא זה וזה מטמא לה הדא היא דתני ר' חייא מטמא הוא לאשתו כשרה ואינו מטמא לאשתו פסולה ואית תנא תני הכא תצא בי""ג דברי' ואית תנא י""ד פי' י""ד קנסות מאן דתני י""ג [עביד]* מציאתה ומעשה ידיה [חדא]** ומאן דתני י""ד עבד כל חדא וחדא חד ואם אינה יורשה נפישי להו ...","ד""פ: *עבידת' **הדא (עיין בקודמת)",1275,104,190368_452
20207,yevamot,689,1,לא,690,32,חדא.,"אור זרוע ח""ג","ב""ב (ק""ב)   טז ג",... דגרסינן בירושלמי בהאשה רבה ולא זה וזה מיטמא לה הדא היא דתני ר' חייא מיטמא הוא לאשתו כשירה ואינו מיטמא לאשתו פסולה. אית תנא דתני הכא תונא בשלש' עשר דבר פי' שלשה עשר קנסוה והם שנויים כולם בהדיא במשנה האשה רבה. ואית תנא תני ארבעה עשר מאן דתני שלשה עשר עביד מציאה ומעשה ידיה חדא ומאן דתני ארבעה עשר עביד כל חדא וחדא חד ...,,1215,6,170676_360
,yevamot,705,1,מה,705,22,שכן.,"חי' הרשב""א - יבמות","דף פז ע”ב ד""ה האשה רבה","אלא דממאי דגרסינן הכא בירושלמי משמע דאפילו נדוניא מפסדא דגרסינן התם ר' אלעזר אומר הראשון זכאי במציאתה כו' מה אמר ר' אלעזר בכתובתה מה אם דברים שנפלו לו דרך איסור את אמרת זכאי כתובה שנפלה לו דרך התר לא כ""ש אלמא מדקאמר שנפלה לו משמע דבנדוניא קא מיירי דבעיקר כתובה לא שייך למימר ביה נפלה לו דמהיכן נפלה לו כל שעתא ברשותיה קיימא",,1275,,
